ACC-1,AJ133121
ACC-2,AF180952
ACC-3,AF180958
ACC-4,EF504260
ACC-5,
ACT-1,U58495
ACT-2,AM076977
ACT-3,EF125013
ACT-4,EU427302
ACT-5,FJ237369
ACT-6,FJ237366
ACT-7,FJ237368
ACT-8,
ACT-9,HQ693810
ACT-10,JN848330
ACT-11,
ACT-12,JX440355
ACT-13,
ACT-14,JX440354
ACT-15,JX440356
ACT-16,AB737978
ACT-17,
ACT-18,
ACT-19,
ACT-20,
ACT-21,
ACT-22,
ACT-23,
CFE-1,AB107899
DHA-1,Y16410
DHA-2,AF259520
DHA-3,AY494945
DHA-4,
DHA-5,JF273491
DHA-6,HQ322612
DHA-7,HQ456945
DHA-8,
FOX-1,X77455
FOX-2,Y10282
FOX-3,Y11068
FOX-4,AJ277535
FOX-5,AY007369
FOX-6,AY034848
FOX-7,AJ703795
FOX-8,HM565917
FOX-9,JF896803
FOX-10,JX049131
FOX-11,
LAT-1,X78117
MIR-1,M37839
MIR-2,AY227752
MIR-3,AY743435
MIR-4,EF417572
MIR-5,FJ237367
MIR-6,JQ664733
MIR-7,
MOX-1,D13304
MOX-2,AJ276453
MOX-3,EU515248
MOX-4,FJ262599
MOX-5,GQ152600
MOX-6,GQ152601
MOX-7,GQ152602
MOX-8,
