IMP-1,S71932
IMP-2,AJ243491
IMP-3,AB010417
IMP-4,AF244145
IMP-5,AF290912
IMP-6,AB040994
IMP-7,AF318077
IMP-8,AF322577
IMP-9,AY033653
IMP-10,AB074433
IMP-11,AB074436
IMP-12,AJ420864
IMP-13,AJ550807
IMP-14,AY553332
IMP-15,AY553333
IMP-16,AJ584652
IMP-17,
IMP-18,AY780674
IMP-19,EF118171
IMP-20,AB196988
IMP-21,AB204557
IMP-22,DQ361087
IMP-23,
IMP-24,EF192154
IMP-25,EU541448
IMP-26,GU045307
IMP-27,JF894248
IMP-28,JQ407409
IMP-29,HQ438058
IMP-30,DQ522237
IMP-31,
IMP-32,JQ002629
IMP-33,JN848782
IMP-34,AB715422
IMP-35,JF816544
IMP-36,
IMP-37,JX131372
IMP-38,HQ875573
IMP-39,
IMP-40,AB753457
IMP-41,AB753458
IMP-42,AB753456
IMP-43,AB777500
IMP-44,AB777501
